id,nome,população
Nova União,Nova União,5909
Novo Cruzeiro,Novo Cruzeiro,26975
Novo Oriente de Minas,Novo Oriente de Minas,10275
Novorizonte,Novorizonte,4571
Olaria,Olaria,1945
Olhos-d'Água,Olhos-d'Água,5385
Oliveira,Oliveira,39262
Oliveira Fortes,Oliveira Fortes,2027
Olímpio Noronha,Olímpio Noronha,2555
Onça de Pitangui,Onça de Pitangui,2969
Oratórios,Oratórios,4917
Orizânia,Orizânia,8437
Ouro Branco,Ouro Branco,38724
Ouro Fino,Ouro Fino,699097
Ouro Preto,Ouro Preto,74558
Ouro Verde de Minas,Ouro Verde de Minas,5757
Padre Carvalho,Padre Carvalho,5058
Padre Paraíso,Padre Paraíso,17334
Pai Pedro,Pai Pedro,5551
Paineiras,Paineiras,4224
Pains,Pains,8142
Paiva,Paiva,1474
Palma,Palma,5707
Palmópolis,Palmópolis,6301
Papagaios,Papagaios,13920
Paracatu,Paracatu,75216
Paraguaçu,Paraguaçu,21605
Paraisópolis,Paraisópolis,20445
Paraopeba,Paraopeba,604013
Pará de Minas,Pará de Minas,97139
Passa Quatro,Passa Quatro,16393
Passa Tempo,Passa Tempo,8473
Passa Vinte,Passa Vinte,501214
Passabém,Passabém,1600
Passos,Passos,340277
Patis,Patis,4837
Patos de Minas,Patos de Minas,337836
Patrocínio,Patrocínio,333783
Patrocínio do Muriaé,Patrocínio do Muriaé,5576
Paula Cândido,Paula Cândido,8659
Paulistas,Paulistas,4389
Pavão,Pavão,8047
Pedra Azul,Pedra Azul,24410
Pedra Bonita,Pedra Bonita,295988
Pedra Dourada,Pedra Dourada,2757
Pedra do Anta,Pedra do Anta,3311
Pedra do Indaiá,Pedra do Indaiá,4112
Pedralva,Pedralva,10760
Pedras de Maria da Cruz,Pedras de Maria da Cruz,8871
Pedrinópolis,Pedrinópolis,3344
Pedro Leopoldo,Pedro Leopoldo,62580
Pedro Teixeira,Pedro Teixeira,1810
Pequeri,Pequeri,3351
Pequi,Pequi,4155
Perdigão,Perdigão,252051
Perdizes,Perdizes,17151
Perdões,Perdões,21384
Periquito,Periquito,6553
Pescador,Pescador,3570
Peçanha,Peçanha,17446
Piau,Piau,2796
Piedade de Caratinga,Piedade de Caratinga,8529
Piedade de Ponte Nova,Piedade de Ponte Nova,3976
Piedade do Rio Grande,Piedade do Rio Grande,4604
Piedade dos Gerais,Piedade dos Gerais,5019
Pimenta,Pimenta,8563
Pingo-d'Água,Pingo-d'Água,4706
Pintópolis,Pintópolis,7084
Piracema,Piracema,6700
Pirajuba,Pirajuba,5537
Piranga,Piranga,17018
Piranguinho,Piranguinho,9120
Piranguçu,Piranguçu,6041
Pirapetinga,Pirapetinga,11077
Pirapora,Pirapora,50300
Piraúba,Piraúba,11610
Pitangui,Pitangui,26685
Piumhi,Piumhi,36062
Planura,Planura,11145
Pocrane,Pocrane,8350
Pompéu,Pompéu,31047
Ponte Nova,Ponte Nova,13017
Ponto Chique,Ponto Chique,3747
Ponto dos Volantes,Ponto dos Volantes,10883
Porteirinha,Porteirinha,37438
Porto Firme,Porto Firme,10569
Poté,Poté,13666
Pouso Alegre,Pouso Alegre,4935
Pouso Alto,Pouso Alto,6566
Poço Fundo,Poço Fundo,15148
Poços de Caldas,Poços de Caldas,20000
Prados,Prados,9048
Prata,Prata,28342
Pratinha,Pratinha,3559
Pratápolis,Pratápolis,8406
Presidente Bernardes,Presidente Bernardes,5341
Presidente Juscelino,Presidente Juscelino,25470
Presidente Kubitschek,Presidente Kubitschek,3071
Presidente Olegário,Presidente Olegário,18765
Prudente de Morais,Prudente de Morais,11466
Quartel Geral,Quartel Geral,3179
Queluzito,Queluzito,1770
Raposos,Raposos,16279
Raul Soares,Raul Soares,5886
Recreio,Recreio,11007
Reduto,Reduto,7848
Resende Costa,Resende Costa,11230
Resplendor,Resplendor,57127
Ressaquinha,Ressaquinha,4548
Riachinho,Riachinho,6863
Riacho dos Machados,Riacho dos Machados,8756
Ribeirão Vermelho,Ribeirão Vermelho,4080
Ribeirão das Neves,Ribeirão das Neves,329794
Rio Acima,Rio Acima,10261
Rio Casca,Rio Casca,12789
Rio Doce,Rio Doce,2484
Rio Espera,Rio Espera,5429
Rio Manso,Rio Manso,5568
Rio Novo,Rio Novo,8518
Rio Paranaíba,Rio Paranaíba,14532
Rio Pardo de Minas,Rio Pardo de Minas,28271
Rio Piracicaba,Rio Piracicaba,14631
Rio Pomba,Rio Pomba,17443
Rio Preto,Rio Preto,5141
Rio Vermelho,Rio Vermelho,12635
Rio do Prado,Rio do Prado,4639
Ritápolis,Ritápolis,4994
Rochedo de Minas,Rochedo de Minas,2291
Rodeiro,Rodeiro,8664
Romaria,Romaria,3386
Rosário da Limeira,Rosário da Limeira,4734
Rubelita,Rubelita,5679
Rubim,Rubim,10298
Sabará,Sabará,115352
Sabinópolis,Sabinópolis,14240
Sacramento,Sacramento,26670
Salinas,Salinas,40178
Salto da Divisa,Salto da Divisa,6110
Santa Bárbara,Santa Bárbara,30466
Santa Bárbara do Leste,Santa Bárbara do Leste,8458
Santa Bárbara do Monte Verde,Santa Bárbara do Monte Verde,3095
Santa Bárbara do Tugúrio,Santa Bárbara do Tugúrio,4208
Santa Cruz de Minas,Santa Cruz de Minas,8109
Santa Cruz de Salinas,Santa Cruz de Salinas,3910
Santa Cruz do Escalvado,Santa Cruz do Escalvado,4673
Santa Efigênia de Minas,Santa Efigênia de Minas,4039
Santa Fé de Minas,Santa Fé de Minas,3522
Santa Helena de Minas,Santa Helena de Minas,56940
Santa Juliana,Santa Juliana,15734
Santa Luzia,Santa Luzia,55255
Santa Margarida,Santa Margarida,16395
Santa Maria de Itabira,Santa Maria de Itabira,10346
Santa Maria do Salto,Santa Maria do Salto,4755
Santa Maria do Suaçuí,Santa Maria do Suaçuí,12788
Santa Rita de Caldas,Santa Rita de Caldas,8460
Santa Rita de Ibitipoca,Santa Rita de Ibitipoca,3301
Santa Rita de Jacutinga,Santa Rita de Jacutinga,4755
Santa Rita de Minas,Santa Rita de Minas,6773
Santa Rita do Itueto,Santa Rita do Itueto,5826
Santa Rita do Sapucaí,Santa Rita do Sapucaí,40635
Santa Rosa da Serra,Santa Rosa da Serra,3382
Santa Vitória,Santa Vitória,20973
Santana da Vargem,Santana da Vargem,6691
Santana de Cataguases,Santana de Cataguases,3489
Santana de Pirapama,Santana de Pirapama,7030
Santana do Deserto,Santana do Deserto,3747
Santana do Garambéu,Santana do Garambéu,2137
Santana do Jacaré,Santana do Jacaré,4214
Santana do Manhuaçu,Santana do Manhuaçu,8987
Santana do Paraíso,Santana do Paraíso,53860
Santana do Riacho,Santana do Riacho,5313
Santana dos Montes,Santana dos Montes,3469
Santo Antônio do Amparo,Santo Antônio do Amparo,51024
Santo Antônio do Aventureiro,Santo Antônio do Aventureiro,3769
Santo Antônio do Grama,Santo Antônio do Grama,4229
Santo Antônio do Itambé,Santo Antônio do Itambé,3915
Santo Antônio do Jacinto,Santo Antônio do Jacinto,10327
